order_id,customer_id,order_date,status,order_amount
1,1001,2023/01/01,completed,152.7 EUR
2,1001,2023/01/08,completed,78.35 EUR
3,1001,2023/01/15,completed,189.52 EUR
4,1001,2023/01/22,completed,394.74 EUR
5,1001,2023/01/29,pending,261.97 EUR
6,1001,2023/02/05,completed,32.76 EUR
7,1001,2023/02/12,completed,93.56 EUR
8,1001,2023/02/19,pending,474.95 EUR
9,1001,2023/02/26,completed,406.11 EUR
10,1001,2023/03/05,completed,57.86 EUR
11,1001,2023/03/12,completed,225.67 EUR
12,1001,2023/03/19,pending,252.64 EUR
13,1001,2023/03/26,pending,455.57 EUR
14,1001,2023/04/02,completed,334.64 EUR
15,1001,2023/04/09,completed,264.83 EUR
16,1002,2023/01/01,completed,100.58 EUR
17,1002,2023/01/08,completed,389.82 EUR
18,1002,2023/01/15,completed,448.47 EUR
19,1002,2023/01/22,completed,461.72 EUR
20,1002,2023/01/29,pending,106.03 EUR
21,1002,2023/02/05,pending,169.41 EUR
22,1002,2023/02/12,completed,142.96 EUR
23,1002,2023/02/19,completed,184.81 EUR
24,1002,2023/02/26,completed,275.92 EUR
25,1002,2023/03/05,pending,403.08 EUR
26,1002,2023/03/12,pending,493.57 EUR
27,1002,2023/03/19,completed,107.37 EUR
28,1003,2023/01/01,pending,409.58 EUR
29,1003,2023/01/08,canceled,367.21 EUR
30,1003,2023/01/15,canceled,46.28 EUR
31,1003,2023/01/22,canceled,66.78 EUR
32,1003,2023/01/29,canceled,315.42 EUR
33,1003,2023/02/05,pending,41.14 EUR
34,1003,2023/02/12,canceled,169.34 EUR
35,1003,2023/02/19,canceled,322.4 EUR
36,1003,2023/02/26,canceled,241.39 EUR
37,1003,2023/03/05,pending,359.49 EUR
38,1003,2023/03/12,pending,285.03 EUR
39,1003,2023/03/19,pending,251.96 EUR
40,1003,2023/03/26,pending,219.5 EUR
41,1003,2023/04/02,canceled,62.87 EUR
42,1003,2023/04/09,canceled,321.84 EUR
43,1004,2023/01/01,completed,259.2 EUR
44,1004,2023/01/08,completed,132.15 EUR
45,1004,2023/01/15,completed,380.22 EUR
46,1004,2023/01/22,completed,47.72 EUR
47,1004,2023/01/29,completed,89.0 EUR
48,1004,2023/02/05,completed,405.98 EUR
49,1004,2023/02/12,completed,437.02 EUR
50,1004,2023/02/19,completed,101.42 EUR
51,1004,2023/02/26,completed,274.28 EUR
52,1004,2023/03/05,completed,449.08 EUR
53,1004,2023/03/12,completed,63.93 EUR
54,1004,2023/03/19,completed,219.28 EUR
55,1004,2023/03/26,completed,431.76 EUR
56,1004,2023/04/02,Canceled,260.27 EUR
57,1004,2023/04/09,completed,118.83 EUR
58,1004,2023/04/16,pending,175.43 EUR
59,1004,2023/04/23,completed,168.37 EUR
60,1004,2023/04/30,completed,354.48 EUR
61,1004,2023/05/07,completed,486.17 EUR
62,1005,2023/01/01,completed,133.37 EUR
63,1005,2023/01/08,completed,157.43 EUR
64,1005,2023/01/15,completed,28.07 EUR
65,1005,2023/01/22,completed,256.31 EUR
66,1005,2023/01/29,pending,146.54 EUR
67,1005,2023/02/05,completed,127.39 EUR
68,1005,2023/02/12,pending,249.83 EUR
69,1005,2023/02/19,completed,128.61 EUR
70,1005,2023/02/26,completed,383.19 EUR
71,1005,2023/03/05,completed,366.83 EUR
72,1005,2023/03/12,completed,319.83 EUR
73,1005,2023/03/19,completed,272.53 EUR
74,1006,2023/01/01,pending,419.3 EUR
75,1006,2023/01/08,completed,101.39 EUR
76,1006,2023/01/15,pending,299.54 EUR
77,1006,2023/01/22,completed,18.13 EUR
78,1006,2023/01/29,completed,120.98 EUR
79,1006,2023/02/05,Canceled,95.44 EUR
80,1006,2023/02/12,completed,199.5 EUR
